Customer ID;Transaction Amount;Date
752858;35.47;2023.04.03
26381;2552.72;2023.07.17
305449;115.97;2023.09.20
988259;11.31;2023.01.11
764762;62.21;2023.06.13
576539;99.14;2023.08.24
124681;145.94;2023.08.30
521807;161.39;2023.02.08
504238;77.73;2023.01.12
583532;142.85;2023.06.07
924841;928.68;2023.02.11
123235;387.78;2023.09.24
840546;142.07;2023.08.07
516709;107.44;2023.04.22
683760;54.31;2023.04.10
777948;79.57;2023.01.05
440706;441.18;2023.02.28
793150;475.82;2023.04.22
27213;106.26;2023.05.20
401993;1468.14;2023.05.14
103920;40.08;2023.05.28
943548;39.87;2023.06.01
178351;151.73;2023.06.29
615357;17.05;2023.04.17
111696;108.3;2023.06.14
6905;366.56;2023.02.01
291542;924.23;2023.03.18
517389;781.85;2023.03.30
744599;1479.49;2023.04.15
726547;94.69;2023.09.13
485562;58.97;2023.09.21
28347;148.26;2023.06.06
899551;157.6;2023.07.20
485255;2071.69;2023.09.20
668341;251.83;2023.06.21
355400;631.18;2023.09.10
796123;1745.4;2023.03.05
343329;487.43;2023.01.14
409886;64.39;2023.05.18
11697;2423.86;2023.09.02
13908;98.4;2023.09.17
373595;84.46;2023.05.17
599093;57.83;2023.08.06
370834;856.38;2023.07.26
261654;147.43;2023.06.11
232533;128.67;2023.10.07
555415;50.21;2023.03.20
717993;71.38;2023.09.26
573771;331.08;2023.06.30
59223;711.74;2023.07.07
801291;1374.86;2023.03.19
858686;39.24;2023.02.18
652558;16.68;2023.05.01
39683;112.63;2023.05.25
344613;185.8;2023.05.07
62730;58.11;2023.03.31
816425;66.45;2023.06.23
641954;2035.14;2023.09.14
904827;153.73;2023.06.20
779830;130.7;2023.02.12
765738;180.37;2023.08.21
805732;2612.99;2023.07.03
982485;139.2;2023.08.04
955318;235.47;2023.06.18
738539;52.71;2023.09.26
396758;12.26;2023.06.10
884080;147.62;2023.03.15
34415;2770.66;2023.07.28
164888;654.39;2023.07.29
677049;23.42;2023.05.17
289003;1949.03;2023.01.01
385557;47.85;2023.04.17
665628;40.42;2023.08.20
95705;263.62;2023.01.20
697024;76.6;2023.08.04
273487;21.85;2023.04.06
828224;154.36;2023.10.08
641695;40.39;2023.09.14
410859;50.69;2023.10.02
403963;311.04;2023.05.30
526718;1616.19;2023.07.01
364086;839.12;2023.03.23
178510;287.34;2023.08.18
143865;246.62;2023.08.02
946664;168.28;2023.01.26
800246;96.41;2023.03.21
884621;344.34;2023.07.20
420838;231.65;2023.02.21
59633;211.58;2023.03.27
361536;234.16;2023.05.24
496809;10.51;2023.09.28
471552;304.25;2023.04.16
450062;278.38;2023.07.23
925651;159.44;2023.05.18
155186;21.79;2023.08.29
838514;231.35;2023.03.02
981118;2362.42;2023.06.28
658610;395.33;2023.03.20
463162;958.43;2023.04.28
707412;94.93;2023.08.27
514027;521.53;2023.06.14
370935;56.48;2023.06.23
986863;58.8;2023.05.15
67931;313.71;2023.01.31
908317;22.38;2023.08.27
347539;11.83;2023.01.25
726123;202.12;2023.06.12
79597;246.7;2023.05.22
95898;58.75;2023.05.05
802243;2128.0;2023.05.28
805206;86.96;2023.08.28
140219;79.0;2023.06.08
796551;141.06;2023.05.12
465123;95.21;2023.05.26
428576;11.98;2023.04.18
672487;381.13;2023.09.17
471101;442.32;2023.06.20
661557;2311.32;2023.10.10
354655;269.51;2023.08.09
41196;1854.31;2023.04.03
202678;1270.81;2023.02.21
292008;104.15;2023.06.15
313343;996.09;2023.06.24
918581;230.32;2023.05.14
449817;77.12;2023.04.19
147364;77.43;2023.03.23
595276;429.49;2023.02.05
266510;537.66;2023.03.24
138959;2371.02;2023.08.22
465981;1868.64;2023.02.26
528337;201.37;2023.02.21
538549;149.98;2023.07.22
806417;75.65;2023.06.23
247945;134.33;2023.01.02
880747;2433.47;2023.06.13
63966;54.06;2023.06.14
269658;83.38;2023.02.24
998320;90.16;2023.09.17
538301;274.8;2023.07.14
664294;927.47;2023.01.07
949304;66.11;2023.01.14
71844;144.23;2023.01.04
160904;2163.17;2023.04.10
140041;701.38;2023.01.02
760246;50.36;2023.04.01
954346;94.07;2023.03.17
603507;125.92;2023.07.29
428653;193.66;2023.05.08
483307;78.67;2023.09.19
80027;264.96;2023.03.16
524694;974.83;2023.03.03
779318;13.91;2023.02.14
714392;199.06;2023.07.17
97841;624.17;2023.05.15
814720;202.51;2023.04.09
713796;88.84;2023.10.06
999791;50.64;2023.05.21
514760;212.61;2023.10.05
671409;1658.37;2023.06.01
787275;53.81;2023.02.06
416580;45.31;2023.03.17
584239;73.39;2023.05.26
883989;45.99;2023.07.11
810891;131.53;2023.04.22
311624;31.97;2023.09.21
173126;288.53;2023.02.17
820056;2774.08;2023.10.10
683369;306.21;2023.06.08
269539;214.52;2023.04.07
757732;85.54;2023.08.16
604713;105.78;2023.02.04
77950;424.61;2023.09.21
427939;136.61;2023.03.07
152372;775.24;2023.05.23
197007;273.92;2023.06.17
308476;140.4;2023.07.17
805058;289.85;2023.03.28
212969;209.17;2023.04.08
111995;73.27;2023.09.04
613364;284.62;2023.06.19
838364;866.42;2023.07.17
252520;2720.55;2023.02.13
358563;36.44;2023.08.29
231013;529.08;2023.04.14
311124;524.45;2023.09.03
752844;31.99;2023.01.12
872305;123.18;2023.01.02
696669;10.02;2023.05.06
455713;59.0;2023.04.12
985602;232.62;2023.09.03
209862;173.02;2023.01.17
259800;168.69;2023.02.14
733597;58.04;2023.02.22
655471;464.17;2023.02.22
827843;766.06;2023.05.15
726336;39.24;2023.01.17
7793;12.67;2023.02.16
151825;1981.24;2023.10.04
178979;215.27;2023.02.03
59423;290.5;2023.05.16
957395;425.61;2023.09.03
187306;226.16;2023.07.01
379290;115.83;2023.07.20
508537;147.81;2023.08.09
760506;2471.45;2023.08.04
830134;200.02;2023.02.19
228033;1893.84;2023.09.24
115511;265.58;2023.04.25
857685;105.68;2023.06.23
659582;18.96;2023.06.11
845147;241.12;2023.08.21
975406;2648.72;2023.08.05
216148;488.7;2023.04.07
325243;98.1;2023.05.19
36470;764.15;2023.07.04
895352;82.77;2023.04.24
512231;193.57;2023.06.04
733759;593.21;2023.02.22
169890;2585.86;2023.05.30
746742;484.35;2023.06.26
376133;359.88;2023.10.04
898170;165.96;2023.04.22
766756;52.29;2023.09.13
559660;76.07;2023.07.11
523959;161.17;2023.02.27
135321;692.42;2023.09.04
956541;85.14;2023.04.30
542031;115.53;2023.07.16
875584;51.63;2023.09.02
611091;61.23;2023.08.10
670772;603.67;2023.03.30
527458;327.2;2023.04.29
403988;98.19;2023.06.15
7829;18.03;2023.06.16
99529;128.19;2023.06.17
889604;97.47;2023.01.02
531316;537.07;2023.06.24
443377;791.56;2023.01.02
723676;87.06;2023.02.19
609070;741.27;2023.07.02
848726;527.27;2023.02.21
966310;80.19;2023.02.10
618528;14.92;2023.01.04
696639;196.46;2023.01.24
537845;424.43;2023.04.02
202536;505.33;2023.08.17
455049;1641.29;2023.06.20
893073;122.58;2023.02.07
513376;274.06;2023.10.03
6526;344.11;2023.02.17
807777;83.0;2023.03.29
557862;2045.17;2023.07.04
26510;93.86;2023.06.16
384523;265.62;2023.01.22
491218;91.53;2023.05.31
382546;742.48;2023.06.22
326446;2260.68;2023.05.05
124147;784.94;2023.10.05
401596;125.32;2023.01.28
469417;998.0;2023.05.20
66785;81.6;2023.09.03
616911;103.34;2023.08.20
643778;49.77;2023.07.29
485816;168.02;2023.01.27
951432;2028.85;2023.10.02
954845;811.1;2023.05.21
583892;1343.51;2023.06.05
88900;10.96;2023.09.01
83144;99.51;2023.09.07
736259;1035.32;2023.03.11
224307;31.92;2023.06.19
21099;263.9;2023.07.04
840937;891.48;2023.01.21
240657;836.15;2023.04.16
110112;74.11;2023.03.04
579730;43.66;2023.09.03
526777;74.03;2023.01.12
594622;2560.5;2023.06.05
787347;18.65;2023.08.06
439045;2695.47;2023.09.14
569429;66.13;2023.05.03
701139;243.25;2023.02.28
134095;1547.47;2023.05.31
248729;83.89;2023.03.18
303872;2428.68;2023.07.01
721258;97.23;2023.10.10
695579;229.6;2023.09.08
384380;444.59;2023.09.27
881230;113.58;2023.09.10
100620;18.49;2023.06.18
28958;861.67;2023.02.27
799062;120.31;2023.05.10
459845;2379.84;2023.08.10
387252;631.76;2023.03.17
747675;480.61;2023.08.01
123959;11.52;2023.05.12
106971;2821.06;2023.05.15
179746;986.87;2023.07.18
478134;139.02;2023.04.18
986328;655.77;2023.04.15
248395;285.63;2023.02.02
256977;810.39;2023.06.25
623669;48.5;2023.08.26
105836;41.92;2023.07.23
810630;50.58;2023.04.26
260128;537.51;2023.06.21
392787;1581.15;2023.06.22
862210;27.4;2023.03.11
726946;2326.85;2023.04.27
320618;927.7;2023.05.12
920531;247.18;2023.02.25
321818;265.32;2023.02.25
670384;154.58;2023.07.15
512241;65.41;2023.08.16
902166;545.65;2023.05.13
197927;25.56;2023.10.03
